id,title,overview,adult,poster_path,backdrop_path,release_date
1426968,Ya no quedan junglas,"Aging ex-soldier Theo meets weekly with prostitute Olga to reminisce. After Olga's murder, Theo seeks bloody revenge, attracting attention of alcoholic cop Iborra and hitman Herodes.",False,https://image.tmdb.org/t/p/w300//iIIZ3qIh7A3B8Y1VVo5laFyusVV.jpg,https://image.tmdb.org/t/p/w300//zmfaCjc4MNUWgEztT3pOOyMSMBw.jpg,2025-09-26 00:00:00
1429520,Sidelined 2: Intercepted,"Freshman star quarterback Drayton struggles with the weight of expectations after a devastating setback, while dancer Dallas begins to question the future she thought she wanted. As their high school relationship begins to unravel under the pressures of distance and self-discovery, they’ll learn that the bravest versions of themselves emerge when they let life redirect them.",False,https://image.tmdb.org/t/p/w300//sEIP1pTVXa8BJaYSuVeVG3wFN10.jpg,https://image.tmdb.org/t/p/w300//iMxWTPRqWJJKVW7KYBlmirSeazw.jpg,2025-11-27 00:00:00
1433719,High Ground,"When a mysterious prisoner lands in jail, a border town sheriff faces the wrath of a brutal cartel.",False,https://image.tmdb.org/t/p/w300//cqF7xuZWbBYXWHsp1I1H5PwujPs.jpg,https://image.tmdb.org/t/p/w300//kyp7PSCKPZKGosthRbjfXPm8gJg.jpg,2025-03-17 00:00:00
1448560,Wildcat,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,False,https://image.tmdb.org/t/p/w300//h893ImjM6Fsv5DFhKJdlZFZIJno.jpg,https://image.tmdb.org/t/p/w300//pAyImoslSnpMgjRwhaS5ZEdl8UI.jpg,2025-11-19 00:00:00
1468417,First Moon,"A young waitress is abducted by a religious cult, who are hell-bent on curing her from a sexually transmitted werewolf virus - or killing her in the process. Will she escape before the first full moon?",False,https://image.tmdb.org/t/p/w300//hcjYvv4k9qs0lDG1Q3GIglT30IW.jpg,https://image.tmdb.org/t/p/w300//7h0qCqkuQzmG5vXN3lGBc06reLd.jpg,2025-05-06 00:00:00
1469354,Border Hunters,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge",False,https://image.tmdb.org/t/p/w300//6TNFZnJ5CU0uFQxGaO9dbqriiI7.jpg,https://image.tmdb.org/t/p/w300//tRdorrIjlybrGsebXOzgF7vRyYy.jpg,2025-10-20 00:00:00
1481331,Nahual,"Katia Montero's exotic getaway spirals into terror when she becomes possessed by a bloodthirsty animal spirit. Erotic encounters, violence, and ancient legends converge to deliver a chilling new twist on a South American myth.",False,https://image.tmdb.org/t/p/w300//gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,https://image.tmdb.org/t/p/w300/None,2025-02-06 00:00:00
1522377,İki Dünya Bir Dilek,"Twenty-one years after a magical meeting at a children's hospital, Bilge and Can suddenly begin hearing each other's voices telepathically. What seems like a miracle soon reveals a hidden secret, as fate-reuniting them after decades-has much more in store. A thrilling adventure and an epic love story await.",False,https://image.tmdb.org/t/p/w300//mZcwX1aN2RdCLwamxdkoINIhVAm.jpg,https://image.tmdb.org/t/p/w300//rnMn1zN3N6aGjC7E1zcwTWsgtVQ.jpg,2025-11-24 00:00:00
1539104,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",False,https://image.tmdb.org/t/p/w300//tc7RrVW5FGvyO2tsgW6LIN1esHI.jpg,https://image.tmdb.org/t/p/w300//eMBYlgFTHfZaTz96eJxlkeMsKo9.jpg,2025-11-07 00:00:00
1550797,Prep & Landing: The Snowball Protocol,"Christmas elves Lanny and Wayne panic when their holiday missions go awry, leaving Wayne thinking he’s in BIG trouble with Santa and accidentally revealing other merry mishaps.",False,https://image.tmdb.org/t/p/w300//olbxBEAGaYCgyi2EEecuwa5tuUl.jpg,https://image.tmdb.org/t/p/w300//tombkp3ir9tmm5v9QLnHaDZCWa7.jpg,2025-11-27 00:00:00
203101,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,"In their efforts to find a safe haven from the zombie apocalypse, the gang find themselves on a deserted island. Now, they take advantage of the momentary respite to enjoy some surf, sand and bathing suits!",False,https://image.tmdb.org/t/p/w300//qXy2J2oy6JF369gZuUIQkr7MQn0.jpg,https://image.tmdb.org/t/p/w300//1t7BMQiYCXI9YLvuMiGwJpO93Kz.jpg,2011-04-25 00:00:00
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",False,https://image.tmdb.org/t/p/w300//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,https://image.tmdb.org/t/p/w300//9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,2012-04-25 00:00:00
269149,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",False,https://image.tmdb.org/t/p/w300//hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,https://image.tmdb.org/t/p/w300//9tOkjBEiiGcaClgJFtwocStZvIT.jpg,2016-02-11 00:00:00
402431,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",False,https://image.tmdb.org/t/p/w300//xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,https://image.tmdb.org/t/p/w300//uKb22E0nlzr914bA9KyA5CVCOlV.jpg,2024-11-20 00:00:00
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",False,https://image.tmdb.org/t/p/w300//oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,https://image.tmdb.org/t/p/w300//ufqytAlziHq5pljKByGJ8IKhtEZ.jpg,2025-11-12 00:00:00
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",False,https://image.tmdb.org/t/p/w300//chpWmskl3aKm1aTZqUHRCtviwPy.jpg,https://image.tmdb.org/t/p/w300//6bzabqH399ioM3nZScwZtzGaHIy.jpg,2025-10-08 00:00:00
575265,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",False,https://image.tmdb.org/t/p/w300//z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,https://image.tmdb.org/t/p/w300//xPNDRM50a58uvv1il2GVZrtWjkZ.jpg,2025-05-17 00:00:00
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",False,https://image.tmdb.org/t/p/w300//pZPJsaFKWheTOerVhLnpP8TPp4B.jpg,https://image.tmdb.org/t/p/w300//hBvaanw3RfMEs1m1blY7xwRXzul.jpg,2025-07-23 00:00:00
701387,Bugonia,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",False,https://image.tmdb.org/t/p/w300//oxgsAQDAAxA92mFGYCZllgWkH9J.jpg,https://image.tmdb.org/t/p/w300//tN3pTxkQoP96wtaEahYuRVdUWb2.jpg,2025-10-23 00:00:00
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",False,https://image.tmdb.org/t/p/w300//xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,https://image.tmdb.org/t/p/w300//2OHa6ukEq3Hce7Pc2kvu8wkmMFY.jpg,2002-08-09 00:00:00
755898,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",False,https://image.tmdb.org/t/p/w300//yvirUYrva23IudARHn3mMGVxWqM.jpg,https://image.tmdb.org/t/p/w300//iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,2025-07-29 00:00:00
803796,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",False,https://image.tmdb.org/t/p/w300//zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg,https://image.tmdb.org/t/p/w300//w3Bi0wygeFQctn6AqFTwhGNXRwL.jpg,2025-06-20 00:00:00
81467,Laura's Toys,"Archaeologist Walter and his wife Laura are working at a dig on a small island off the coast of Sweden. One day Laura catches Walter having a go at it with his sexy assistant, Anna. Laura calls in her old friend--and former lesbian lover--Hanni to help get her revenge on Walter by having she and Hanni seduce Anna.",False,https://image.tmdb.org/t/p/w300//rqzupBGrChmHG5Wl6wy5vI0V3Vz.jpg,https://image.tmdb.org/t/p/w300//dCz15Nt6MnVPBxBQwfGaGZPpEX2.jpg,1975-01-01 00:00:00
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",False,https://image.tmdb.org/t/p/w300//g96wHxU7EnoIFwemb2RgohIXrgW.jpg,https://image.tmdb.org/t/p/w300//iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,2025-12-17 00:00:00
949709,危机航线,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",False,https://image.tmdb.org/t/p/w300//v8ySgr4CE45SrrIt4PqqYc1diW6.jpg,https://image.tmdb.org/t/p/w300//8lqfrOBQ2EcY7znD3LxTYcvlh25.jpg,2024-09-29 00:00:00
967941,Wicked: For Good,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",False,https://image.tmdb.org/t/p/w300//si9tolnefLSUKaqQEGz1bWArOaL.jpg,https://image.tmdb.org/t/p/w300//l8pwO23MCvqYumzozpxynCNfck1.jpg,2025-11-19 00:00:00
